1_graph	8_frantfreqparm
0	279.84
1	612.10
2	1043.90
3	839.32
4	832.23
5	913.87
6	603.42
7	600.61
8	908.03
9	1427.45
a	4294.90
aa	0.55
aaah	0.29
abaissa	1.45
abaissai	0.06
abaissaient	0.26
abaissait	1.29
abaissant	2.39
abaisse	5.39
abaissement	7.71
abaissements	0.55
abaissent	1.35
abaisser	4.45
abaissera	0.10
abaisserai	0.10
abaisseraient	0.13
abaisserait	0.19
abaisses	0.06
abaisseurs	0.03
abaissez	0.10
abaissons	0.03
abaissât	0.03
abaissèrent	0.23
abaissé	2.13
abaissée	0.77
abaissées	0.13
abaissés	0.58
abalones	0.06
abandon	20.74
abandonna	5.90
abandonnai	1.19
abandonnaient	1.10
abandonnais	1.00
abandonnait	5.52
abandonnant	7.10
abandonnas	0.06
abandonnassent	0.03
abandonne	12.77
abandonnement	0.03
abandonnent	2.61
abandonner	22.06
abandonnera	0.68
abandonnerai	0.39
abandonneraient	0.13
abandonnerais	0.16
abandonnerait	0.65
abandonneras	0.10
abandonnerez	0.03
abandonneriez	0.10
abandonnerions	0.03
abandonnerons	0.16
abandonneront	0.19
abandonnes	0.19
abandonnez	0.58
abandonniez	0.13
abandonnions	0.26
abandonnique	0.03
abandonnons	0.71
abandonnâmes	0.10
abandonnât	0.26
abandonnèrent	1.35
abandonné	23.26
abandonnée	13.13
abandonnées	5.10
abandonnés	7.87
abandons	1.68
abaque	0.06
abaques	0.16
abarticulaires	0.10
abasourdi	2.16
abasourdie	0.48
abasourdir	0.06
abasourdis	0.13
abasourdissants	0.03
abat	8.55
abatage	0.81
abatages	0.16
abatis	0.45
abats	0.90
abattage	1.42
abattages	0.19
abattaient	1.23
abattais	0.16
abattait	2.06
abattant	2.00
abattants	0.06
abatte	0.48
abattement	1.90
abattements	0.45
abattent	1.39
abatteur	0.16
abatteurs	0.03
abatteuses	0.03
abattez	0.10
abattions	0.06
abattirent	0.48
abattis	0.81
abattit	2.52
abattoir	2.13
abattoirs	3.81
abattra	0.42
abattrai	0.13
abattraient	0.06
abattrais	0.03
abattrait	0.26
abattre	9.68
abattrons	0.03
abattront	0.03
abattu	7.45
abattue	2.71
abattues	1.00
abattures	0.06
abattus	2.45
abbatial	0.13
abbatiale	0.19
abbatiales	0.03
abbaye	4.06
abbayes	0.74
abbesse	2.32
abbesses	0.35
abbé	5.77
abbés	0.84
abcisses	0.06
abcès	5.35
abdication	1.52
abdications	0.06
abdiqua	0.13
abdiquai	0.03
abdiquaient	0.03
abdiquais	0.06
abdiquait	0.13
abdiquant	0.13
abdique	0.52
abdiquent	0.03
abdiquer	0.61
abdiquera	0.03
abdiquerai	0.06
abdiquerais	0.03
abdiquerait	0.03
abdiquez	0.10
abdiquèrent	0.03
abdiqué	0.65
abdiquée	0.03
abdomen	2.77
abdominal	0.45
abdominale	2.13
abdominales	0.61
abdominaux	1.39
abducteur	0.03
abduction	0.10
abeillage	0.03
abeille	3.23
abeilles	5.16
aber	0.26
aberrance	0.03
aberrant	1.06
aberrante	1.03
aberrantes	0.52
aberrants	0.81
aberration	3.61
aberrations	2.00
abhorrais	0.03
abhorrait	0.35
abhorrant	0.03
abhorre	0.06
abhorrent	0.03
abhorrer	0.06
abhorré	0.26
abhorrée	0.06
abhorrés	0.06
abies	0.10
abiotiques	0.16
abject	0.90
abjecte	1.10
abjectement	0.03
abjectes	0.13
abjection	1.19
abjections	0.06
abjects	0.26
abjuraient	0.03
abjurant	0.03
abjuration	0.26
abjurations	0.03
abjure	0.10
abjurent	0.03
abjurer	0.39
abjureras	0.03
abjurons	0.03
abjuré	0.35
ablatif	0.10
ablation	2.90
ablations	0.35
able	0.10
ablette	0.19
ablettes	0.39
ablution	0.19
ablutions	0.71
abnégation	2.00
abo	0.19
aboi	0.55
aboie	1.23
aboiement	1.35
aboiements	2.23
aboient	0.48
aboierait	0.06
aboieront	0.03
abois	1.90
aboli	2.42
abolie	1.74
abolies	0.97
abolir	2.84
abolira	0.16
abolirait	0.10
abolirent	0.03
aboliront	0.06
abolis	0.90
abolissaient	0.23
abolissais	0.03
abolissait	0.71
abolissant	0.55
abolisse	0.06
abolissent	0.19
abolisseur	0.03
abolissez	0.03
abolissions	0.03
abolit	1.90
abolition	4.13
abolitionniste	0.10
abolitionnistes	0.06
abolît	0.03
abominable	5.13
abominablement	0.48
abominables	1.23
abominai	0.03
abominaient	0.03
abominais	0.03
abominait	0.03
abomination	1.61
abominations	0.81
abomine	0.23
abominer	0.03
abominions	0.03
abominât	0.03
abominée	0.03
abonda	0.13
abondai	0.03
abondaient	0.84
abondais	0.06
abondait	0.32
abondamment	5.19
abondance	13.71
abondances	0.19
abondant	3.52
abondante	6.97
abondantes	3.13
abondants	2.45
abondassent	0.03
abonde	1.00
abondement	0.03
abondent	1.77
abonder	0.39
abonderait	0.03
abondèrent	0.03
abondé	0.13
abonnai	0.03
abonnait	0.03
abonnant	0.03
abonne	0.03
abonnement	1.55
abonnements	0.52
abonner	0.19
abonnez	0.03
abonnât	0.03
abonné	1.45
abonnée	0.39
abonnées	0.16
abonnés	3.58
abord	261.06
aborda	2.55
abordable	0.32
abordables	0.16
abordage	0.97
abordages	0.10
abordai	0.32
abordaient	0.71
abordais	0.26
abordait	1.52
abordant	1.61
abordas	0.06
aborde	4.97
abordent	1.10
aborder	15.19
abordera	0.42
aborderai	0.10
aborderaient	0.03
aborderais	0.03
aborderait	0.10
aborderions	0.06
aborderons	0.48
aborderont	0.19
abordes	0.03
abordez	0.03
abordiez	0.06
abordions	0.19
abordons	0.97
abords	7.55
abordâmes	0.13
abordèrent	0.45
abordé	4.16
abordée	1.52
abordées	0.55
abordés	1.26
aborigène	0.03
aborigènes	0.23
abornement	0.13
abortifs	0.03
abortive	0.19
abortives	0.16
aboucha	0.03
abouchaient	0.03
abouchais	0.03
abouchait	0.03
abouchant	0.13
abouche	0.19
abouchement	0.26
abouchements	0.03
abouchent	0.03
aboucher	0.26
abouchèrent	0.03
abouché	0.03
abouchée	0.03
abouchés	0.03
aboule	0.19
abouler	0.06
aboulez	0.06
aboulie	0.23
aboulique	0.10
abouliques	0.10
abounas	0.03
about	0.48
aboutait	0.03
abouterait	0.03
abouti	6.94
aboutie	0.10
abouties	0.03
aboutir	17.58
aboutira	1.06
aboutirai	0.06
aboutiraient	0.35
aboutirais	0.06
aboutirait	1.26
aboutiras	0.03
aboutirent	1.55
aboutirons	0.03
aboutiront	0.61
aboutis	0.26
aboutissaient	1.13
aboutissait	2.23
aboutissant	4.45
aboutissants	0.55
aboutisse	0.71
aboutissement	6.26
aboutissements	0.23
aboutissent	5.19
aboutissez	0.06
aboutissiez	0.03
aboutissions	0.03
aboutissons	0.16
aboutit	17.84
aboutons	0.03
aboutîmes	0.06
aboutît	0.03
aboya	0.68
